model-1642371666, 1642371666.74, 0.46, 0.2507, 0.49, 0.2522
model-1642371666, 1642371667.469, 0.54, 0.2494, 0.54, 0.2489
model-1642371666, 1642371668.24, 0.62, 0.2454, 0.54, 0.2552
model-1642371666, 1642371668.976, 0.5, 0.2646, 0.51, 0.2537
model-1642371666, 1642371669.717, 0.53, 0.2507, 0.57, 0.2465
model-1642371666, 1642371670.447, 0.53, 0.2492, 0.53, 0.2491
model-1642371666, 1642371671.197, 0.45, 0.2523, 0.6, 0.2474
model-1642371666, 1642371671.986, 0.51, 0.2492, 0.58, 0.2478
model-1642371666, 1642371672.702, 0.46, 0.25, 0.5, 0.2494
model-1642371666, 1642371673.451, 0.4, 0.2509, 0.57, 0.2493
model-1642371666, 1642371674.197, 0.5, 0.2502, 0.49, 0.2498
model-1642371666, 1642371674.907, 0.52, 0.2496, 0.53, 0.2494
model-1642371666, 1642371675.629, 0.61, 0.2481, 0.48, 0.2491
model-1642371666, 1642371676.35, 0.55, 0.2492, 0.49, 0.249
model-1642371666, 1642371677.099, 0.42, 0.2498, 0.55, 0.2475
model-1642371666, 1642371677.822, 0.57, 0.2487, 0.6, 0.2449
model-1642371666, 1642371678.54, 0.57, 0.2467, 0.47, 0.2542
model-1642371666, 1642371679.275, 0.47, 0.2549, 0.56, 0.2454
model-1642371666, 1642371680.001, 0.51, 0.2553, 0.46, 0.2468
model-1642371666, 1642371680.805, 0.5, 0.245, 0.5, 0.2474
model-1642371666, 1642371681.518, 0.54, 0.2504, 0.6, 0.245
model-1642371666, 1642371682.253, 0.66, 0.2463, 0.58, 0.2464
model-1642371666, 1642371682.984, 0.49, 0.2487, 0.48, 0.2494
model-1642371666, 1642371683.669, 0.58, 0.2483, 0.51, 0.2485
model-1642371666, 1642371684.511, 0.46, 0.2495, 0.5, 0.2505
model-1642371666, 1642371685.249, 0.57, 0.2468, 0.57, 0.2465
model-1642371666, 1642371685.963, 0.57, 0.2479, 0.52, 0.2493
model-1642371666, 1642371686.68, 0.57, 0.2467, 0.62, 0.2426
model-1642371666, 1642371687.397, 0.43, 0.2531, 0.58, 0.2443
model-1642371666, 1642371688.117, 0.57, 0.2467, 0.59, 0.2425
model-1642371666, 1642371688.918, 0.61, 0.2443, 0.57, 0.2418
model-1642371666, 1642371689.653, 0.53, 0.2519, 0.56, 0.2471
model-1642371666, 1642371690.39, 0.5, 0.2477, 0.59, 0.2428
model-1642371666, 1642371691.115, 0.53, 0.2463, 0.51, 0.2463
model-1642371666, 1642371691.844, 0.57, 0.245, 0.57, 0.2382
model-1642371666, 1642371692.567, 0.6, 0.2397, 0.52, 0.2469
model-1642371666, 1642371693.292, 0.49, 0.2532, 0.57, 0.2447
model-1642371666, 1642371694.046, 0.49, 0.246, 0.55, 0.2456
model-1642371666, 1642371694.725, 0.65, 0.2364, 0.52, 0.2412
model-1642371666, 1642371695.32, 0.63, 0.2382, 0.62, 0.2381
model-1642371666, 1642371695.912, 0.64, 0.2415, 0.58, 0.2394
model-1642371666, 1642371696.452, 0.52, 0.248, 0.67, 0.2334
model-1642371666, 1642371697.102, 0.71, 0.236, 0.54, 0.2501
model-1642371666, 1642371697.676, 0.64, 0.2455, 0.49, 0.2548
model-1642371666, 1642371698.244, 0.59, 0.246, 0.52, 0.2448
model-1642371666, 1642371698.826, 0.59, 0.2316, 0.52, 0.249
model-1642371666, 1642371699.361, 0.59, 0.2259, 0.53, 0.2473
model-1642371666, 1642371699.96, 0.51, 0.2545, 0.52, 0.2483
model-1642371666, 1642371700.603, 0.69, 0.2159, 0.59, 0.2383
model-1642371666, 1642371701.174, 0.58, 0.2424, 0.57, 0.2431
model-1642371666, 1642371701.781, 0.5, 0.2441, 0.59, 0.236
model-1642371666, 1642371702.356, 0.63, 0.2299, 0.56, 0.2465
model-1642371666, 1642371702.934, 0.59, 0.2358, 0.55, 0.2531
model-1642371666, 1642371703.489, 0.6, 0.2328, 0.58, 0.2534
model-1642371666, 1642371704.062, 0.59, 0.2523, 0.62, 0.2399
model-1642371666, 1642371704.63, 0.57, 0.2402, 0.6, 0.2448
model-1642371666, 1642371705.361, 0.54, 0.2576, 0.6, 0.2446
model-1642371666, 1642371705.946, 0.61, 0.2306, 0.62, 0.2362
model-1642371666, 1642371706.547, 0.63, 0.2418, 0.6, 0.2343
model-1642371666, 1642371707.15, 0.61, 0.2287, 0.59, 0.2284
model-1642371666, 1642371707.751, 0.53, 0.2472, 0.5, 0.2445
model-1642371666, 1642371708.332, 0.55, 0.2473, 0.58, 0.2344
model-1642371666, 1642371708.914, 0.62, 0.2389, 0.6, 0.2355
model-1642371666, 1642371709.643, 0.55, 0.239, 0.59, 0.2424
model-1642371666, 1642371710.317, 0.54, 0.2399, 0.54, 0.2464
model-1642371666, 1642371710.927, 0.52, 0.2515, 0.59, 0.2369
model-1642371666, 1642371711.501, 0.61, 0.2416, 0.61, 0.2305
model-1642371666, 1642371712.072, 0.57, 0.2383, 0.69, 0.2257
model-1642371666, 1642371712.686, 0.56, 0.2391, 0.61, 0.2416
model-1642371666, 1642371713.351, 0.58, 0.2475, 0.66, 0.2238
model-1642371666, 1642371713.953, 0.61, 0.2408, 0.49, 0.2503
model-1642371666, 1642371714.552, 0.57, 0.2429, 0.57, 0.2369
model-1642371666, 1642371715.137, 0.52, 0.2585, 0.57, 0.2318
model-1642371666, 1642371715.729, 0.5, 0.2509, 0.6, 0.2342
model-1642371666, 1642371716.292, 0.63, 0.2341, 0.58, 0.2403
model-1642371666, 1642371716.874, 0.62, 0.2447, 0.63, 0.2309
model-1642371666, 1642371717.42, 0.68, 0.2313, 0.64, 0.2335
model-1642371666, 1642371717.988, 0.65, 0.2283, 0.65, 0.232
model-1642371666, 1642371718.583, 0.59, 0.2393, 0.62, 0.2322
model-1642371666, 1642371719.231, 0.56, 0.2427, 0.64, 0.2228
model-1642371666, 1642371719.86, 0.69, 0.2266, 0.59, 0.2361
model-1642371666, 1642371720.58, 0.61, 0.2288, 0.58, 0.2336
model-1642371666, 1642371721.354, 0.59, 0.2307, 0.7, 0.2244
model-1642371666, 1642371722.175, 0.42, 0.2651, 0.52, 0.244
model-1642371666, 1642371722.741, 0.68, 0.2246, 0.51, 0.2509
model-1642371666, 1642371723.299, 0.58, 0.2459, 0.53, 0.2461
model-1642371666, 1642371723.922, 0.62, 0.2243, 0.6, 0.2302
model-1642371666, 1642371724.499, 0.59, 0.2345, 0.61, 0.2269
model-1642371666, 1642371725.082, 0.6, 0.239, 0.59, 0.2323
model-1642371666, 1642371725.702, 0.56, 0.2453, 0.58, 0.2338
model-1642371666, 1642371726.374, 0.62, 0.2313, 0.55, 0.2472
model-1642371666, 1642371727.159, 0.7, 0.2133, 0.52, 0.2556
model-1642371666, 1642371727.859, 0.57, 0.2404, 0.54, 0.2455
model-1642371666, 1642371728.462, 0.51, 0.2628, 0.56, 0.2449
model-1642371666, 1642371729.084, 0.6, 0.2382, 0.68, 0.2236
model-1642371666, 1642371729.66, 0.58, 0.2333, 0.65, 0.2284
model-1642371666, 1642371730.377, 0.55, 0.2305, 0.62, 0.2312
model-1642371666, 1642371730.992, 0.7, 0.2227, 0.61, 0.2306
model-1642371666, 1642371731.759, 0.56, 0.2468, 0.65, 0.2289
model-1642371666, 1642371732.622, 0.58, 0.2408, 0.7, 0.2205
model-1642371666, 1642371733.371, 0.61, 0.234, 0.67, 0.2261
model-1642371666, 1642371733.999, 0.62, 0.227, 0.65, 0.2264
model-1642371666, 1642371734.719, 0.72, 0.2169, 0.66, 0.212
model-1642371666, 1642371735.454, 0.68, 0.217, 0.57, 0.2417
model-1642371666, 1642371736.129, 0.48, 0.2711, 0.57, 0.2417
model-1642371666, 1642371736.749, 0.67, 0.2212, 0.56, 0.2449
model-1642371666, 1642371737.359, 0.6, 0.235, 0.63, 0.2272
model-1642371666, 1642371737.942, 0.55, 0.2563, 0.56, 0.2477
model-1642371666, 1642371738.602, 0.62, 0.2199, 0.66, 0.2207
model-1642371666, 1642371739.173, 0.57, 0.2469, 0.59, 0.2282
model-1642371666, 1642371739.81, 0.58, 0.2385, 0.61, 0.2206
model-1642371666, 1642371740.44, 0.6, 0.2279, 0.61, 0.2285
model-1642371666, 1642371741.077, 0.65, 0.2212, 0.56, 0.2454
model-1642371666, 1642371741.682, 0.51, 0.2559, 0.59, 0.2372
model-1642371666, 1642371742.284, 0.65, 0.2323, 0.62, 0.229
model-1642371666, 1642371742.944, 0.56, 0.2383, 0.65, 0.2175
model-1642371666, 1642371743.518, 0.6, 0.2388, 0.56, 0.2511
model-1642371666, 1642371744.095, 0.58, 0.231, 0.64, 0.2289
model-1642371666, 1642371744.682, 0.65, 0.2255, 0.7, 0.2286
model-1642371666, 1642371745.255, 0.53, 0.2525, 0.55, 0.244
model-1642371666, 1642371745.83, 0.56, 0.2408, 0.58, 0.2348
model-1642371666, 1642371746.386, 0.58, 0.2366, 0.7, 0.2148
model-1642371666, 1642371747.045, 0.59, 0.2488, 0.64, 0.2257
model-1642371666, 1642371747.59, 0.58, 0.2394, 0.65, 0.2276
model-1642371666, 1642371748.154, 0.68, 0.2114, 0.62, 0.2294
model-1642371666, 1642371748.694, 0.57, 0.2368, 0.64, 0.2197
model-1642371666, 1642371749.242, 0.59, 0.2377, 0.59, 0.2236
model-1642371666, 1642371749.78, 0.59, 0.2298, 0.61, 0.2292
model-1642371666, 1642371750.328, 0.63, 0.2234, 0.62, 0.2359
model-1642371666, 1642371750.878, 0.57, 0.2434, 0.63, 0.2223
model-1642371666, 1642371751.463, 0.56, 0.2501, 0.6, 0.2224
model-1642371666, 1642371752.048, 0.5, 0.2717, 0.63, 0.2237
model-1642371666, 1642371752.612, 0.6, 0.2302, 0.65, 0.2296
model-1642371666, 1642371753.214, 0.65, 0.2334, 0.64, 0.2241
model-1642371666, 1642371753.82, 0.68, 0.2067, 0.6, 0.2355
model-1642371666, 1642371754.407, 0.58, 0.243, 0.65, 0.2259
model-1642371666, 1642371755.084, 0.64, 0.2208, 0.67, 0.2233
model-1642371666, 1642371755.679, 0.73, 0.2102, 0.65, 0.2218
model-1642371666, 1642371756.276, 0.67, 0.2199, 0.65, 0.2188
model-1642371666, 1642371756.899, 0.62, 0.2249, 0.63, 0.2187
model-1642371666, 1642371757.513, 0.59, 0.24, 0.64, 0.2185
model-1642371666, 1642371758.089, 0.66, 0.2288, 0.59, 0.2326
model-1642371666, 1642371758.681, 0.64, 0.2249, 0.7, 0.2123
model-1642371666, 1642371759.303, 0.66, 0.2324, 0.6, 0.2404
model-1642371666, 1642371759.89, 0.6, 0.2179, 0.63, 0.2148
model-1642371666, 1642371760.452, 0.53, 0.2632, 0.57, 0.2209
model-1642371666, 1642371761.024, 0.56, 0.2368, 0.66, 0.2159
model-1642371666, 1642371761.624, 0.61, 0.2507, 0.58, 0.2345
model-1642371666, 1642371762.253, 0.72, 0.213, 0.6, 0.2329
model-1642371666, 1642371762.84, 0.63, 0.2339, 0.63, 0.2318
model-1642371666, 1642371763.636, 0.62, 0.2375, 0.65, 0.2202
model-1642371666, 1642371764.299, 0.57, 0.2323, 0.71, 0.2053
model-1642371666, 1642371764.859, 0.7, 0.2175, 0.55, 0.2435
model-1642371666, 1642371765.434, 0.52, 0.2559, 0.54, 0.2414
model-1642371666, 1642371766.012, 0.7, 0.2167, 0.64, 0.223
model-1642371666, 1642371766.588, 0.58, 0.237, 0.55, 0.2452
model-1642371666, 1642371767.158, 0.5, 0.2554, 0.51, 0.2468
model-1642371666, 1642371767.726, 0.66, 0.219, 0.65, 0.2166
model-1642371666, 1642371768.358, 0.55, 0.2423, 0.63, 0.2311
model-1642371666, 1642371768.93, 0.68, 0.2165, 0.71, 0.2156
model-1642371666, 1642371769.608, 0.67, 0.2221, 0.72, 0.2192
model-1642371666, 1642371770.228, 0.63, 0.2274, 0.65, 0.2255
model-1642371666, 1642371771.086, 0.62, 0.2392, 0.71, 0.2164
model-1642371666, 1642371771.74, 0.71, 0.2201, 0.61, 0.2298
model-1642371666, 1642371772.303, 0.65, 0.2234, 0.71, 0.2148
model-1642371666, 1642371772.899, 0.59, 0.2328, 0.64, 0.2319
model-1642371666, 1642371773.509, 0.61, 0.2351, 0.59, 0.2354
model-1642371666, 1642371774.108, 0.64, 0.2218, 0.65, 0.2143
model-1642371666, 1642371774.656, 0.69, 0.2021, 0.69, 0.2061
model-1642371666, 1642371775.205, 0.75, 0.197, 0.7, 0.2088
model-1642371666, 1642371775.765, 0.62, 0.2226, 0.65, 0.2199
model-1642371666, 1642371776.327, 0.69, 0.2004, 0.68, 0.2123
model-1642371666, 1642371776.873, 0.65, 0.2146, 0.61, 0.2178
model-1642371666, 1642371777.439, 0.55, 0.262, 0.65, 0.2253
model-1642371666, 1642371777.988, 0.66, 0.2087, 0.66, 0.2063
model-1642371666, 1642371778.584, 0.65, 0.2248, 0.61, 0.2287
model-1642371666, 1642371779.201, 0.69, 0.1983, 0.59, 0.2473
model-1642371666, 1642371779.922, 0.64, 0.2253, 0.65, 0.2118
model-1642371666, 1642371780.566, 0.61, 0.2254, 0.66, 0.2044
model-1642371666, 1642371781.57, 0.59, 0.248, 0.69, 0.1903
model-1642371666, 1642371782.78, 0.64, 0.2267, 0.6, 0.2373
model-1642371666, 1642371783.408, 0.67, 0.2046, 0.61, 0.2114
model-1642371666, 1642371784.005, 0.68, 0.1951, 0.65, 0.2144
model-1642371666, 1642371784.572, 0.57, 0.23, 0.68, 0.2129
model-1642371666, 1642371785.145, 0.64, 0.2213, 0.68, 0.2027
model-1642371666, 1642371785.726, 0.69, 0.201, 0.73, 0.2128
model-1642371666, 1642371786.32, 0.62, 0.2201, 0.7, 0.2119
model-1642371666, 1642371787.026, 0.63, 0.2182, 0.62, 0.2221
model-1642371666, 1642371787.601, 0.69, 0.2136, 0.64, 0.2268
model-1642371666, 1642371788.245, 0.72, 0.2018, 0.67, 0.2247
model-1642371666, 1642371788.825, 0.65, 0.2103, 0.64, 0.2218
model-1642371666, 1642371789.366, 0.62, 0.2192, 0.69, 0.2192
model-1642371666, 1642371789.923, 0.66, 0.2142, 0.64, 0.2239
model-1642371666, 1642371790.474, 0.67, 0.2171, 0.69, 0.21
model-1642371666, 1642371791.022, 0.61, 0.2305, 0.68, 0.2103
model-1642371666, 1642371791.569, 0.69, 0.2123, 0.68, 0.2162
model-1642371666, 1642371792.123, 0.57, 0.2633, 0.65, 0.2123
model-1642371666, 1642371792.666, 0.68, 0.2005, 0.7, 0.1967
model-1642371666, 1642371793.223, 0.64, 0.2258, 0.62, 0.2222
model-1642371666, 1642371793.773, 0.67, 0.2132, 0.62, 0.2206
model-1642371666, 1642371794.309, 0.72, 0.2009, 0.64, 0.2213
model-1642371666, 1642371794.868, 0.6, 0.2383, 0.67, 0.2133
model-1642371666, 1642371795.408, 0.54, 0.2554, 0.65, 0.2179
model-1642371666, 1642371795.968, 0.66, 0.2277, 0.61, 0.2221
model-1642371666, 1642371796.602, 0.66, 0.2295, 0.6, 0.2172
model-1642371666, 1642371797.184, 0.68, 0.2136, 0.65, 0.2267
model-1642371666, 1642371797.727, 0.73, 0.1961, 0.64, 0.2216
model-1642371666, 1642371798.492, 0.6, 0.2172, 0.68, 0.2057
model-1642371666, 1642371799.048, 0.63, 0.2171, 0.65, 0.2152
model-1642371666, 1642371799.625, 0.58, 0.2375, 0.69, 0.1993
model-1642371666, 1642371800.173, 0.57, 0.2444, 0.68, 0.2088
model-1642371666, 1642371800.738, 0.66, 0.2247, 0.66, 0.2175
model-1642371666, 1642371801.311, 0.69, 0.1969, 0.73, 0.1943
model-1642371666, 1642371801.875, 0.64, 0.2271, 0.67, 0.2011
model-1642371666, 1642371802.436, 0.6, 0.2057, 0.69, 0.2075
model-1642371666, 1642371803.001, 0.71, 0.2043, 0.62, 0.209
model-1642371666, 1642371803.548, 0.62, 0.2326, 0.63, 0.224
model-1642371666, 1642371804.113, 0.68, 0.2017, 0.69, 0.2172
model-1642371666, 1642371804.814, 0.63, 0.2261, 0.65, 0.2206
model-1642371666, 1642371805.396, 0.65, 0.2125, 0.6, 0.2273
